y,z,b
-44.065,-141.177,-105938
-44.092,-140.482,-105940
-44.12,-139.994,-105942
-44.148,-139.831,-105944
-44.176,-139.865,-105946
-44.203,-140.022,-105948
-44.231,-140.155,-105950
-44.259,-140.255,-105952
-44.287,-140.329,-105954
-44.315,-140.459,-105956
-44.342,-140.663,-105958
-44.37,-140.936,-105960
-44.398,-141.23,-105962
-44.426,-141.464,-105964
-44.453,-141.637,-105966
-44.481,-141.858,-105968
-44.509,-142.094,-105970
-44.537,-142.339,-105972
-44.565,-142.577,-105974
-44.592,-142.755,-105976
-44.62,-142.861,-105978
-44.648,-142.974,-105980
-44.676,-143.028,-105982
-44.703,-142.982,-105984
-44.731,-142.743,-105986
-44.759,-142.368,-105988
-44.787,-141.868,-105990
-44.815,-141.221,-105992
-44.842,-140.382,-105994
-44.87,-139.316,-105996
-44.898,-138.011,-105998
-44.926,-136.435,-106000
-44.953,-134.552,-106002
-44.981,-132.341,-106004
-45.009,-129.733,-106006
-45.037,-126.615,-106008
-45.065,-122.932,-106010
-45.092,-118.662,-106012
-45.12,-113.806,-106014
-45.148,-108.648,-106016
-45.176,-103.71,-106018
-45.203,-100.254,-106020
-45.231,-99.282,-106022
-45.259,-99.107,-106024
-45.287,-99.277,-106026
-45.315,-99.66,-106028
-45.342,-100.152,-106030
-45.37,-100.803,-106032
-45.398,-101.644,-106034
-45.426,-102.624,-106036
-45.453,-103.697,-106038
-45.481,-104.888,-106040
-45.509,-106.217,-106042
-45.537,-107.699,-106044
-45.565,-109.216,-106046
-45.592,-110.743,-106048
-45.62,-112.317,-106050
-45.648,-113.864,-106052
-45.676,-115.361,-106054
-45.703,-116.774,-106056
-45.731,-118.159,-106058
-45.759,-119.538,-106060
-45.787,-120.896,-106062
-45.815,-122.187,-106064
-45.842,-123.411,-106066
-45.87,-124.681,-106068
-45.898,-125.995,-106070
-45.926,-127.312,-106072
-45.953,-128.607,-106074
-45.981,-129.909,-106076
-46.009,-131.224,-106078
-46.037,-132.423,-106080
-46.065,-133.468,-106082
-46.092,-134.426,-106084
-46.12,-135.346,-106086
-46.148,-136.23,-106088
-46.176,-136.998,-106090
-46.203,-137.638,-106092
-46.231,-138.211,-106094
-46.259,-138.877,-106096
-46.287,-139.653,-106098
-46.315,-140.481,-106100
-46.342,-141.263,-106102
-46.37,-142.069,-106104
-46.398,-142.951,-106106
-46.426,-143.704,-106108
-46.453,-144.36,-106110
-46.481,-145.099,-106112
-46.509,-145.962,-106114
-46.537,-147.012,-106116
-46.565,-148.209,-106118
-46.592,-149.369,-106120
-46.62,-150.422,-106122
-46.648,-151.339,-106124
-46.676,-152.104,-106126
-46.703,-152.694,-106128
-46.731,-153.057,-106130
-46.759,-153.241,-106132
-46.787,-153.256,-106134
-46.815,-153.104,-106136
-46.842,-152.736,-106138
-46.87,-152.106,-106140
-46.898,-151.151,-106142
-46.926,-149.902,-106144
-46.953,-148.397,-106146
-46.981,-146.691,-106148
-47.009,-144.832,-106150
-47.037,-142.81,-106152
-47.065,-140.62,-106154
-47.092,-138.28,-106156
-47.12,-135.883,-106158
-47.148,-133.471,-106160
-47.176,-131.05,-106162
-47.203,-128.703,-106164
-47.231,-126.454,-106166
-47.259,-124.338,-106168
-47.287,-122.316,-106170
-47.315,-120.397,-106172
-47.342,-118.603,-106174
-47.37,-116.923,-106176
-47.398,-115.411,-106178
-47.426,-114.137,-106180
-47.453,-112.945,-106182
-47.481,-111.835,-106184
-47.509,-110.831,-106186
-47.537,-109.898,-106188
-47.565,-109.067,-106190
-47.592,-108.39,-106192
-47.62,-107.882,-106194
-47.648,-107.422,-106196
-47.676,-107.026,-106198
-47.703,-106.781,-106200
-47.731,-107.028,-106202
-47.759,-107.426,-106204
-47.787,-107.89,-106206
-47.815,-108.396,-106208
-47.842,-109.073,-106210
-47.87,-109.906,-106212
-47.898,-110.841,-106214
-47.926,-111.843,-106216
-47.953,-112.955,-106218
-47.981,-114.151,-106220
-48.009,-115.425,-106222
-48.037,-116.947,-106224
-48.065,-118.647,-106226
-48.092,-120.436,-106228
-48.12,-122.365,-106230
-48.148,-124.398,-106232
-48.176,-126.526,-106234
-48.203,-128.787,-106236
-48.231,-131.151,-106238
-48.259,-133.59,-106240
-48.287,-136.021,-106242
-48.315,-138.445,-106244
-48.342,-140.809,-106246
-48.37,-143.017,-106248
-48.398,-145.059,-106250
-48.426,-146.945,-106252
-48.453,-148.665,-106254
-48.481,-150.175,-106256
-48.509,-151.427,-106258
-48.537,-152.381,-106260
-48.565,-153.002,-106262
-48.592,-153.357,-106264
-48.62,-153.496,-106266
-48.648,-153.466,-106268
-48.676,-153.278,-106270
-48.703,-152.909,-106272
-48.731,-152.296,-106274
-48.759,-151.514,-106276
-48.787,-150.588,-106278
-48.815,-149.535,-106280
-48.842,-148.371,-106282
-48.87,-147.141,-106284
-48.898,-146.063,-106286
-48.926,-145.197,-106288
-48.953,-144.461,-106290
-48.981,-143.806,-106292
-49.009,-143.042,-106294
-49.037,-142.147,-106296
-49.065,-141.355,-106298
-49.092,-140.752,-106300
-49.12,-140.376,-106302
-49.148,-140.44,-106304
-49.176,-140.725,-106306
-49.203,-141.11,-106308
-49.231,-141.49,-106310
-49.259,-141.821,-106312
-49.287,-142.118,-106314
-49.315,-142.443,-106316
-49.342,-142.809,-106318
-49.37,-143.209,-106320
-49.398,-143.577,-106322
-49.426,-143.896,-106324
-49.453,-144.166,-106326
-49.481,-144.416,-106328
-49.509,-144.65,-106330
-49.537,-144.875,-106332
-49.565,-145.088,-106334
-49.592,-145.252,-106336
-49.62,-145.336,-106338
-49.648,-145.374,-106340
-49.676,-145.381,-106342
-49.703,-145.328,-106344
